,Interval summary,,,,,,,,,,,,Velocity classes,,,,,,,,,,Zone: block,,,,,,,,,,,Zone: Ball,,,,,,,,,,,Zone: arena,,,,,,,,,,
animal ,Group,Date,Time,Run time,Avg. velocity (cm/s),Track length (cm),Activity (%),Ambulations,ZC,R ZC,Wall dist. (cm),Area covered (%),vc 1 (s),vc 2 (s),vc 3 (s),vc 4 (s),vc 5 (s),vc 6 (s),vc 7 (s),vc 8 (s),vc 9 (s),vc 10 (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s),Duration (s),Velocity (cm/s),Tracklength (cm),Visits,Headbobs,Headstretches,Tailmoves,Freezings,Activity (%),Ambulations,Visit latency (s)
21,,14.03.2018,11:38:31,0:04:00,6.7,404.2,71.6,144,239,745,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3.3,0,0,5,0,0,0,0,0,6,17.2,7.8,8.6,13.2,11,0,0,0,0,73.9,18,12.2,60,6.7,404.2,0,0,0,0,0,71.6,144,0
21,,14.03.2018,11:39:31,0:05:00,6.5,392.8,68,145,240,686,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",10.4,21.6,19.1,7,0,0,0,0,55.9,12,29.2,6.6,11.8,25.1,21,0,0,0,0,31,12,9.8,60,6.5,392.8,0,0,0,0,0,68,145,0
21,,14.03.2018,11:40:31,0:06:00,2.7,162.8,57.1,221,123,158,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.5,0,0,2,0,0,0,0,0,1,58.1,0,0,0,0,0,0,0,0,0,0,0,60,2.7,162.8,0,0,0,0,0,57.1,221,0
21,,14.03.2018,11:41:31,0:07:00,5.1,303.2,66.9,200,204,515,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.7,12,2.7,3,0,0,0,0,100,2,1.2,0,0,0,0,0,0,0,0,0,0,0,60,5.1,303.2,0,0,0,0,0,66.9,200,0
21,,14.03.2018,11:42:31,0:08:00,6.5,387.8,73.3,168,232,685,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.9,4.3,0.8,6,0,0,0,0,100,2,14.4,5.3,5.2,3.2,17,0,0,0,0,45.5,11,1.8,60,6.5,387.8,0,0,0,0,0,73.3,168,0
21,,14.03.2018,11:43:31,0:09:00,4.5,271,59.2,231,141,347,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",13.7,9.6,29,7,0,0,0,0,30.6,39,22.2,2.4,26.3,6.7,8,0,0,0,0,69.6,5,39.7,60,4.5,271,0,0,0,0,0,59.2,231,0
21,,14.03.2018,11:44:31,0:10:00,4.6,277.6,74,207,173,370,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.2,0,0,1,0,0,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,60,4.6,277.6,0,0,0,0,0,74,207,0
22,,14.03.2018,11:47:39,0:01:00,3.1,186,54.7,213,108,247,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.2,0,0,2,0,0,0,0,0,5,50.4,0,0,0,0,0,0,0,0,0,0,0,60,3.1,186,0,0,0,0,0,54.7,213,0
22,,14.03.2018,11:48:39,0:02:00,6.6,397.8,75.8,119,240,737,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.6,0,0,6,0,0,0,0,0,4,55.1,0,0,0,0,0,0,0,0,0,0,0,60,6.6,397.8,0,0,0,0,0,75.8,119,0
22,,14.03.2018,11:49:39,0:03:00,4.4,263.6,65,197,172,440,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.3,0,0,2,0,0,0,0,0,0,7.1,1.2,0,0,1,0,0,0,0,0,2,58.9,60,4.4,263.6,0,0,0,0,0,65,197,0
22,,14.03.2018,11:50:39,0:04:00,7,419,73,148,302,724,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3.8,37.6,20.3,6,0,0,0,0,73.3,12,19.8,3.7,20.4,1,8,0,0,0,0,100,8,3.9,60,7,419,0,0,0,0,0,73,148,0
22,,14.03.2018,11:51:39,0:05:00,2.3,135.4,62.1,249,66,44,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2.3,135.4,0,0,0,0,0,62.1,249,0
22,,14.03.2018,11:52:39,0:06:00,4,242.3,62.6,221,162,381,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0.1,0,0,1,0,0,0,0,0,1,44.9,1.5,0,0,1,0,0,0,0,0,1,42.3,60,4,242.3,0,0,0,0,0,62.6,221,0
22,,14.03.2018,11:53:39,0:07:00,6.7,404.3,79.1,141,242,645,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.7,9,17.3,5,0,0,0,0,39.4,3,17,3.2,3.2,1.6,7,0,0,0,0,33.1,9,6.6,60,6.7,404.3,0,0,0,0,0,79.1,141,0
22,,14.03.2018,11:54:39,0:08:00,4.7,283.2,63.4,183,183,401,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",3.1,8.9,0.7,4,0,0,0,0,100,12,23.9,6.5,16.1,7.5,13,0,0,0,0,46.4,16,18.1,60,4.7,283.2,0,0,0,0,0,63.4,183,0
22,,14.03.2018,11:55:39,0:09:00,4.2,253.1,73.8,238,121,338,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,9,55.3,60,4.2,253.1,0,0,0,0,0,73.8,238,0
22,,14.03.2018,11:56:39,0:10:00,4.9,294,72,185,185,493,0,0,"00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0","00:00,0",1.3,5.8,0.9,3,0,0,0,0,100,1,2.4,0,0,0,0,0,0,0,0,0,0,0,59.9,4.9,294,0,0,0,0,0,72,185,0
